구분,2016년 경부선,2016년 호남선,2016년 전체,2017년 경부선,2017년 호남선,2017년 전체,2018년 경부선,2018년 호남선,2018년 전체,2019년 경부선,2019년 호남선,2019년 전체,2020년 경부선,2020년 호남선,2020년 전체,2021년 경부선,2021년 호남선,2021년 전체,2022년 경부선,2022년 호남선,2022년 전체,2023년 경부선,2023년 호남선,2023년 경전선,2023년 동해선,2023년 전라선,2023년 전체
1월,,,,33770,9511,43281,37872,11863,49736,39352,12898,52251,41326,14269,55595,19434,7488,26922,33369,11693,45062,40192,14312,0,0,0,54504
2월,,,,31770,8539,40308,35804,11365,47170,37083,12224,49307,26937,9677,36613,23855,8509,32364,29796,10230,40026,38097,13214,0,0,0,51311
3월,,,,32538,9314,41853,37703,11817,49519,39880,13006,52886,13265,6795,20061,31281,11263,42544,31233,11237,42469,40263,14280,0,0,0,54543
4월,,,,34666,10041,44708,38255,11985,50240,39173,13125,52298,20298,8410,28708,31861,11680,43541,37030,13131,50162,40774,14448,0,0,0,55222
5월,,,,36843,10639,47481,39837,12509,52346,41241,13730,54972,30019,11325,41344,34889,12621,47510,41501,14799,56300,42316,15065,0,0,0,57380
6월,,,,35238,10082,45320,38370,11829,50199,39898,13225,53123,30439,10930,41368,33950,12180,46130,39902,14130,54032,40723,14397,0,0,0,55120
7월,,,,36964,10155,47119,39173,12234,51406,40269,13343,53612,33917,10677,44593,31155,10865,42020,41148,14275,55423,42425,14417,0,0,0,56842
8월,,,,37466,10871,48336,39513,12396,51908,41193,13759,54952,31385,10643,42028,30299,11047,41346,41004,14159,55163,42427,14582,0,0,0,57009
9월,,,,36220,11030,47250,38698,12626,51324,38948,13432,52381,23498,8395,31893,29425,10755,40180,38730,13972,52702,37034,14633,1807,1486,1366,56325
10월,,,,39121,11914,51035,40093,13017,53110,41428,14191,55619,30802,11335,42137,36632,13168,49800,42825,15217,58042,39038,15237,1930,1573,1526,59305
11월,,,,37837,11612,49448,39886,13075,52961,41934,14251,56184,32070,11587,43657,36865,13349,50214,40211,14601,54812,37688,14723,1849,1501,1446,57206
12월,22958,6357,29319,39880,12512,52392,40571,13195,53766,42125,14296,56421,20288,7870,28158,35782,12725,48508,40452,14797,55249,39177,15066,1906,1549,1506,59204
