호선,역명,일시,측정값,데이터기준일자
2,강남,2024-01-01 00,24.6,2024-02-29
2,강남,2024-01-01 01,46.6,2024-02-29
2,강남,2024-01-01 02,51.9,2024-02-29
2,강남,2024-01-01 03,36.2,2024-02-29
2,강남,2024-01-01 04,28.3,2024-02-29
2,강남,2024-01-01 05,25.5,2024-02-29
2,강남,2024-01-01 06,13.9,2024-02-29
2,강남,2024-01-01 07,11.1,2024-02-29
2,강남,2024-01-01 08,25.6,2024-02-29
2,강남,2024-01-01 09,26.2,2024-02-29
2,강남,2024-01-01 10,27.5,2024-02-29
2,강남,2024-01-01 11,26,2024-02-29
2,강남,2024-01-01 12,19.8,2024-02-29
2,강남,2024-01-01 13,23.8,2024-02-29
2,강남,2024-01-01 14,25.9,2024-02-29
2,강남,2024-01-01 15,24,2024-02-29
2,강남,2024-01-01 16,12.8,2024-02-29
2,강남,2024-01-01 17,23.8,2024-02-29
2,강남,2024-01-01 18,22.8,2024-02-29
2,강남,2024-01-01 19,19.5,2024-02-29
2,강남,2024-01-01 20,25,2024-02-29
2,강남,2024-01-01 21,20.7,2024-02-29
2,강남,2024-01-01 22,25,2024-02-29
2,강남,2024-01-01 23,30.4,2024-02-29
2,강남,2024-01-02 00,29.2,2024-02-29
2,강남,2024-01-02 01,43.6,2024-02-29
2,강남,2024-01-02 02,51.1,2024-02-29
2,강남,2024-01-02 03,40.3,2024-02-29
2,강남,2024-01-02 04,37.8,2024-02-29
2,강남,2024-01-02 05,38.2,2024-02-29
2,강남,2024-01-02 06,23.1,2024-02-29
2,강남,2024-01-02 07,32,2024-02-29
2,강남,2024-01-02 08,29.3,2024-02-29
2,강남,2024-01-02 09,48.7,2024-02-29
2,강남,2024-01-02 10,44.2,2024-02-29
2,강남,2024-01-02 11,28.8,2024-02-29
2,강남,2024-01-02 12,26.3,2024-02-29
2,강남,2024-01-02 13,26.3,2024-02-29
2,강남,2024-01-02 14,25.4,2024-02-29
2,강남,2024-01-02 15,27.1,2024-02-29
2,강남,2024-01-02 16,18.9,2024-02-29
2,강남,2024-01-02 17,25.3,2024-02-29
2,강남,2024-01-02 18,33.3,2024-02-29
2,강남,2024-01-02 19,41.5,2024-02-29
2,강남,2024-01-02 20,33.3,2024-02-29
2,강남,2024-01-02 21,27.9,2024-02-29
2,강남,2024-01-02 22,22,2024-02-29
2,강남,2024-01-02 23,23.5,2024-02-29
2,강남,2024-01-03 00,23.2,2024-02-29
2,강남,2024-01-03 01,42.2,2024-02-29
2,강남,2024-01-03 02,28.7,2024-02-29
2,강남,2024-01-03 03,23.5,2024-02-29
2,강남,2024-01-03 04,26.2,2024-02-29
2,강남,2024-01-03 05,22.1,2024-02-29
2,강남,2024-01-03 06,11.4,2024-02-29
2,강남,2024-01-03 07,20.1,2024-02-29
2,강남,2024-01-03 08,41.6,2024-02-29
2,강남,2024-01-03 09,49.1,2024-02-29
2,강남,2024-01-03 10,51.4,2024-02-29
2,강남,2024-01-03 11,38.7,2024-02-29
2,강남,2024-01-03 12,39.2,2024-02-29
2,강남,2024-01-03 13,35.8,2024-02-29
2,강남,2024-01-03 14,47.2,2024-02-29
2,강남,2024-01-03 15,43.6,2024-02-29
2,강남,2024-01-03 16,35.6,2024-02-29
2,강남,2024-01-03 17,32.4,2024-02-29
2,강남,2024-01-03 18,62.6,2024-02-29
2,강남,2024-01-03 19,79.6,2024-02-29
2,강남,2024-01-03 20,69,2024-02-29
2,강남,2024-01-03 21,56.5,2024-02-29
2,강남,2024-01-03 22,45.3,2024-02-29
2,강남,2024-01-03 23,43,2024-02-29
2,강남,2024-01-04 00,31,2024-02-29
2,강남,2024-01-04 01,32.7,2024-02-29
2,강남,2024-01-04 02,29.1,2024-02-29
2,강남,2024-01-04 03,27.5,2024-02-29
2,강남,2024-01-04 04,33.9,2024-02-29
2,강남,2024-01-04 05,28.8,2024-02-29
2,강남,2024-01-04 06,23.4,2024-02-29
2,강남,2024-01-04 07,28.6,2024-02-29
2,강남,2024-01-04 08,45.7,2024-02-29
2,강남,2024-01-04 09,58.2,2024-02-29
2,강남,2024-01-04 10,58.3,2024-02-29
2,강남,2024-01-04 11,45.2,2024-02-29
2,강남,2024-01-04 12,39.9,2024-02-29
2,강남,2024-01-04 13,34.9,2024-02-29
2,강남,2024-01-04 14,42.8,2024-02-29
2,강남,2024-01-04 15,54,2024-02-29
2,강남,2024-01-04 16,46.1,2024-02-29
2,강남,2024-01-04 17,42.7,2024-02-29
2,강남,2024-01-04 18,47.8,2024-02-29
2,강남,2024-01-04 19,48.2,2024-02-29
2,강남,2024-01-04 20,41.9,2024-02-29
2,강남,2024-01-04 21,34.1,2024-02-29
2,강남,2024-01-04 22,36,2024-02-29
2,강남,2024-01-04 23,33.9,2024-02-29
2,강남,2024-01-05 00,49.3,2024-02-29
2,강남,2024-01-05 01,58,2024-02-29
2,강남,2024-01-05 02,43.9,2024-02-29
2,강남,2024-01-05 03,37.7,2024-02-29
2,강남,2024-01-05 04,34.6,2024-02-29
2,강남,2024-01-05 05,31.5,2024-02-29
2,강남,2024-01-05 06,21.4,2024-02-29
2,강남,2024-01-05 07,35.2,2024-02-29
2,강남,2024-01-05 08,53,2024-02-29
2,강남,2024-01-05 09,65.2,2024-02-29
2,강남,2024-01-05 10,63.6,2024-02-29
2,강남,2024-01-05 11,55.9,2024-02-29
2,강남,2024-01-05 12,57.5,2024-02-29
2,강남,2024-01-05 13,66.6,2024-02-29
2,강남,2024-01-05 14,64,2024-02-29
2,강남,2024-01-05 15,59.9,2024-02-29
2,강남,2024-01-05 16,46.8,2024-02-29
2,강남,2024-01-05 17,54.8,2024-02-29
2,강남,2024-01-05 18,74.7,2024-02-29
2,강남,2024-01-05 19,68.8,2024-02-29
2,강남,2024-01-05 20,63.6,2024-02-29
2,강남,2024-01-05 21,64.4,2024-02-29
2,강남,2024-01-05 22,56.8,2024-02-29
2,강남,2024-01-05 23,36,2024-02-29
2,강남,2024-01-06 00,21.7,2024-02-29
2,강남,2024-01-06 01,49.7,2024-02-29
2,강남,2024-01-06 02,59.5,2024-02-29
2,강남,2024-01-06 03,27.9,2024-02-29
2,강남,2024-01-06 04,19.7,2024-02-29
2,강남,2024-01-06 05,26.9,2024-02-29
2,강남,2024-01-06 06,17,2024-02-29
2,강남,2024-01-06 07,15.7,2024-02-29
2,강남,2024-01-06 08,13.4,2024-02-29
2,강남,2024-01-06 09,17.8,2024-02-29
2,강남,2024-01-06 10,22.6,2024-02-29
2,강남,2024-01-06 11,21.9,2024-02-29
2,강남,2024-01-06 12,24.6,2024-02-29
2,강남,2024-01-06 13,27.2,2024-02-29
2,강남,2024-01-06 14,28.4,2024-02-29
2,강남,2024-01-06 15,26,2024-02-29
2,강남,2024-01-06 16,22.9,2024-02-29
2,강남,2024-01-06 17,26.2,2024-02-29
2,강남,2024-01-06 18,29.1,2024-02-29
2,강남,2024-01-06 19,22.3,2024-02-29
2,강남,2024-01-06 20,23.7,2024-02-29
2,강남,2024-01-06 21,21,2024-02-29
2,강남,2024-01-06 22,21.6,2024-02-29
2,강남,2024-01-06 23,22.6,2024-02-29
2,강남,2024-01-07 00,20.3,2024-02-29
2,강남,2024-01-07 01,22.6,2024-02-29
2,강남,2024-01-07 02,20.3,2024-02-29
2,강남,2024-01-07 03,21,2024-02-29
2,강남,2024-01-07 04,24.1,2024-02-29
2,강남,2024-01-07 05,25.3,2024-02-29
2,강남,2024-01-07 06,14.7,2024-02-29
