지점정보,경도,위도,평균기온(°C),최저기온(°C),최고기온(°C),강수량(mm)
속초(90),128.56473,38.25085,15.7,12.3,23.3,58.6
북춘천(93),127.75443,37.94738,17,7.2,25.9,40.9
철원(95),127.3042,38.14787,16.2,7.4,24.2,42.4
동두천(98),127.0607,37.90188,16.8,9.3,25.3,38
파주(99),126.76648,37.88589,15.2,7,22.6,20.4
대관령(100),128.71834,37.67713,13.5,5.2,22.6,52.7
춘천(101),127.7357,37.90262,17.6,7.5,25.8,44.3
백령도(102),124.71237,37.97396,12.9,9,17.5,28.5
북강릉(104),128.85535,37.80456,17.5,12.5,24.8,66.6
강릉(105),128.89099,37.75147,18.8,13.8,26.4,66
동해(106),129.12433,37.50709,17.9,12.1,26.4,71.2
서울(108),126.9658,37.57142,17.6,11.5,24.3,29.9
인천(112),126.6249,37.47772,15.3,11.6,19,19.2
원주(114),127.94659,37.33749,18.1,10,25.4,42.1
울릉도(115),130.89863,37.48129,17.3,13.2,21.3,89.9
수원(119),126.983,37.25746,15.8,8,23.7,30.2
영월(121),128.45743,37.18126,17.1,8.2,26.7,45.6
충주(127),127.9525,36.97045,16.9,6.6,26.3,50.8
서산(129),126.4939,36.77658,15,7.4,22.1,26.1
울진(130),129.41278,36.99176,17.1,10.9,25.3,63.5
청주(131),127.44066,36.63924,19.3,11.3,26.6,37.9
대전(133),127.3721,36.37199,18.2,9,26.4,57.9
추풍령(135),127.99458,36.22025,18,7.1,26.1,65.6
안동(136),128.70733,36.57293,18.5,7.8,27.2,55.7
상주(137),128.15741,36.40837,20.3,10.2,27.5,72.3
포항(138),129.38002,36.03201,20.7,13.6,28.4,84.5
군산(140),126.76135,36.0053,15.3,7.7,22.1,54.7
대구(143),128.65296,35.87797,20.2,11,28.8,70.9
전주(146),127.11718,35.84092,18.3,10,26,79.6
울산(152),129.33469,35.58237,18.8,11.2,25.7,80.2
창원(155),128.57282,35.17019,18.2,11.1,26,117.2
광주(156),126.89156,35.17294,19.1,11,27,79.5
부산(159),129.03203,35.10468,17.9,13.5,23.2,102
통영(162),128.43561,34.84541,15.9,11.5,19.8,113.2
목포(165),126.38151,34.81732,17.5,10.8,23.5,73.3
여수(168),127.74063,34.73929,17.3,12.5,22.1,93.2
흑산도(169),125.45105,34.68719,15.9,11,21.7,77.1
완도(170),126.70182,34.3959,17.3,10.7,25.3,103.1
고창(172),126.599,35.34824,15.7,6.2,24.9,61.3
순천(174),127.3694,35.0204,16.7,7,27.1,91.8
홍성(177),126.68772,36.65759,16.4,7.9,23.5,34.9
서청주(181),127.38466,36.64002,15.9,5.5,25.2,40.7
