"행정구역","2024년03월_전체","2024년03월_남자","2024년03월_여자","2024년03월_65세이상전체","2024년03월_65세이상남자","2024년03월_65세이상여자"
"서울특별시  (1100000000)","9,384,739","4,536,128","4,848,611","1,757,310","778,273","979,037"
"서울특별시 서울특별시 종로구 (1111000000)","139,498","67,228","72,270","28,844","13,022","15,822"
"서울특별시 서울특별시 중구 (1114000000)","121,602","58,767","62,835","25,851","11,467","14,384"
"서울특별시 서울특별시 용산구 (1117000000)","209,849","100,488","109,361","39,111","17,107","22,004"
"서울특별시 서울특별시 성동구 (1120000000)","276,964","134,232","142,732","49,876","22,008","27,868"
"서울특별시 서울특별시 광진구 (1121500000)","335,105","160,888","174,217","57,332","25,628","31,704"
"서울특별시 서울특별시 동대문구 (1123000000)","341,987","167,574","174,413","67,600","30,123","37,477"
"서울특별시 서울특별시 중랑구 (1126000000)","381,966","187,102","194,864","80,055","36,038","44,017"
"서울특별시 서울특별시 성북구 (1129000000)","424,881","203,700","221,181","81,069","34,973","46,096"
"서울특별시 서울특별시 강북구 (1130500000)","286,400","138,474","147,926","69,188","29,802","39,386"
"서울특별시 서울특별시 도봉구 (1132000000)","306,346","148,366","157,980","71,495","31,898","39,597"
"서울특별시 서울특별시 노원구 (1135000000)","497,064","238,492","258,572","97,470","41,407","56,063"
"서울특별시 서울특별시 은평구 (1138000000)","466,007","221,117","244,890","94,926","40,860","54,066"
"서울특별시 서울특별시 서대문구 (1141000000)","305,986","145,110","160,876","58,219","24,892","33,327"
"서울특별시 서울특별시 마포구 (1144000000)","363,645","169,745","193,900","58,164","24,441","33,723"
"서울특별시 서울특별시 양천구 (1147000000)","434,528","212,015","222,513","77,202","34,634","42,568"
"서울특별시 서울특별시 강서구 (1150000000)","561,386","268,922","292,464","103,495","45,515","57,980"
"서울특별시 서울특별시 구로구 (1153000000)","391,387","191,789","199,598","79,500","35,843","43,657"
"서울특별시 서울특별시 금천구 (1154500000)","227,160","114,278","112,882","45,239","20,676","24,563"
"서울특별시 서울특별시 영등포구 (1156000000)","375,148","183,680","191,468","66,696","30,221","36,475"
"서울특별시 서울특별시 동작구 (1159000000)","378,649","183,036","195,613","70,893","30,887","40,006"
"서울특별시 서울특별시 관악구 (1162000000)","481,958","242,765","239,193","85,697","37,978","47,719"
"서울특별시 서울특별시 서초구 (1165000000)","407,840","194,116","213,724","66,427","30,022","36,405"
"서울특별시 서울특별시 강남구 (1168000000)","554,280","265,082","289,198","88,480","39,751","48,729"
"서울특별시 서울특별시 송파구 (1171000000)","653,736","313,887","339,849","110,225","50,737","59,488"
"서울특별시 서울특별시 강동구 (1174000000)","461,367","225,275","236,092","84,256","38,343","45,913"
