업소명,소재지(도로명),업태명
커피지연,"부산광역시 서구 대신공원로 26, 1층 (동대신동3가, 동아대학교의료원 신관 에프동 )",커피숍
종합강의동 커피점,"부산광역시 서구 구덕로 225 (부민동2가, 종합강의동 지하 1층)",커피숍
투썸플레이스 송도해수욕장점,부산광역시 서구 송도해변로 117 (암남동),커피숍
요그릭스(Yogreeeks),부산광역시 서구 구덕로 238 (부용동1가),커피숍
이디야 부민동아대점,부산광역시 서구 임시수도기념로 9 (부민동2가),커피숍
웨슬리,"부산광역시 서구 구덕로 236-1, 1층 (부용동1가, 1층일부)",커피숍
전차플라워,부산광역시 서구 꽃마을로163번길 25 (서대신동3가),커피숍
스타벅스부산동대신역점,부산광역시 서구 구덕로322번길 7 (동대신동3가),커피숍
혜윰,"부산광역시 서구 꽃마을로 164-10, 지하1층 (서대신동3가)",커피숍
커피라이터,"부산광역시 서구 대영로 78 (동대신동1가, 동대신동시장 1층 일부)",커피숍
미엘,부산광역시 서구 임시수도기념로 13 (부민동2가),커피숍
이디야,"부산광역시 서구 구덕로 293, 1층 103호 (서대신동2가, 희망센츄럴타운)",커피숍
고분도리카페,부산광역시 서구 해돋이로 416 (서대신동2가),커피숍
닥밭골북카페,"부산광역시 서구 보동길278번길 15, 2층 (동대신동2가, 닥밭골행복문화센터)",커피숍
대신 벚꽃길 빙수,"부산광역시 서구 대영로73번길 60, 1층 (동대신동3가)",커피숍
국제관 커피점,"부산광역시 서구 구덕로 225 (부민동2가, 동아대학교 부민캠퍼스 국제관)",커피숍
기찻집예술체험장,"부산광역시 서구 천마산로 423, 1층 (아미동2가)",커피숍
스타벅스커피 부민사거리점,"부산광역시 서구 구덕로 212, 1~3층 (부민동1가)",커피숍
더벤티부민점,"부산광역시 서구 구덕로 220 (부민동1가, 한웅캠퍼스 타워 102호)",커피숍
플루800 동아대 병원점,"부산광역시 서구 대신공원로 15-1, 1층일부,2층층 (동대신동3가)",커피숍
리스펙트커피(Respect Coffee),"부산광역시 서구 대신공원로 2, 2층 (동대신동3가)",커피숍
커피스토어 송도고신대병원점,"부산광역시 서구 감천로 261, 1층 108호 (암남동, 삼성비치타운)",커피숍
컴포즈 동아대병원점,"부산광역시 서구 동대로 28-6, 1층 103호 (동대신동3가, 리버스14차)",커피숍
할리스커피 부산서구청점,"부산광역시 서구 보수대로 9, 1층 104호 (충무동1가, 바른빌딩)",커피숍
더벤티 충무동점,"부산광역시 서구 충무대로 285, 1층 (충무동1가, 1층일부)",커피숍
빈스톡,"부산광역시 서구 암남공원로 56, 1,2층 (암남동)",커피숍
파스쿠치 부산대병원점,"부산광역시 서구 까치고개로197번길 3 (아미동2가, 나동 1층일부 2층전체)",커피숍
알파피씨커피,"부산광역시 서구 충무대로 181, 1층 108호 (남부민동, LG마린타워)",커피숍
컴포즈 커피(송도점),"부산광역시 서구 송도해변로 149, 1층 (암남동)",커피숍
할리스커피부산송도점,"부산광역시 서구 송도해변로 61-1, 1층 (암남동)",커피숍
시편카페,"부산광역시 서구 대청로 8, 1층 (부민동1가)",커피숍
커피생활,"부산광역시 서구 대영로73번길 91, 1층 (동대신동3가)",커피숍
나그미커피,"부산광역시 서구 꽃마을로 41-1, 1층 (서대신동3가)",커피숍
더리터 아미점,부산광역시 서구 까치고개로 208 (아미동1가),커피숍
