storeNumber,countryCode,ownershipTypeCode,latitude,longitude
34638-85784,HK,LS,22.3407,114.20169
32141-267986,HK,LS,22.341694,114.194208
15035-155445,HK,LS,22.33352,114.19678
31944-224544,HK,LS,22.323871,114.203796
21805-215565,HK,LS,22.3366,114.182904
34610-28207,HK,LS,22.32287,114.21344
32240-132324,HK,LS,22.32068,114.21015
31735-116128,HK,LS,22.31982,114.20857
31601-277585,HK,LS,22.328222,114.181048
27789-248689,HK,LS,22.335369,114.176125
31295-106071,HK,LS,22.33735,114.17411
28087-249911,HK,LS,22.315936,114.214427
57658-291775,HK,LS,22.315382,114.21705
28938-251933,HK,LS,22.323102,114.172155
31484-108178,HK,LS,22.31385,114.2216
24822-239032,HK,LS,22.309342,114.191437
15929-163266,HK,LS,22.31853,114.17469
16739-175266,HK,LS,22.31955,114.17157
15498-162224,HK,LS,22.32257,114.16904
57118-291147,HK,LS,22.310027,114.220882
34651-97510,HK,LS,22.31255,114.22524
23427-230344,HK,LS,22.318242,114.169937
28086-249917,HK,LS,22.310818,114.226208
34650-96576,HK,LS,22.31813,114.16866
47110-256908,HK,LS,22.315398,114.17103
32539-136288,HK,LS,22.30386,114.18883
22692-223905,HK,LS,22.319787,114.162605
54743-286011,HK,LS,22.303007,114.18157
34628-224530,HK,LS,22.381427,114.188484
34649-96235,HK,LS,22.30772,114.17166
21708-214544,HK,LS,22.305914,114.172472
30619-100432,HK,LS,22.316737,114.16147
19323-201108,HK,LS,22.30087,114.17837
19399-201944,HK,LS,22.38631,114.20359
31644-113449,HK,LS,22.303115,114.172536
27011-246465,HK,LS,22.300959,114.175817
53722-284724,HK,LS,22.326917,114.153605
26879-245951,HK,LS,22.385467,114.187778
22442-221224,HK,LS,22.298266,114.178378
59390-293624,HK,LS,22.292995,114.199348
34647-95348,HK,LS,22.30095,114.17288
31372-107012,HK,LS,22.33718,114.14944
65295-299604,HK,LS,22.291954,114.195354
23287-137113,HK,LS,22.299522,114.172586
32157-218684,HK,LS,22.297329,114.176483
17868-186924,HK,LS,22.33464,114.14878
53240-284367,HK,LS,22.290962,114.2026
17103-179445,HK,LS,22.291131,114.208106
34601-20281,HK,LS,22.28394,114.15819
34622-64463,HK,LS,22.28445,114.15846
67143-301904,HK,LS,22.283433,114.157377
22733-224529,HK,LS,22.284612,114.157381
34607-131304,HK,LS,22.283015,114.159281
32636-134915,HK,LS,22.28372,114.15612
16712-167649,HK,LS,22.282465,114.156284
34644-94628,HK,LS,22.28152,114.15869
15593-163265,HK,LS,22.285142,114.155854
34630-69462,HK,LS,22.28113,114.15946
31187-105744,HK,LS,22.28162,114.15598
31373-106380,HK,LS,22.28651,114.16076
1909-139865,HK,LS,22.27983,114.15669
16021-297190,HK,LS,22.279489,114.160546
30625-100796,HK,LS,22.28598,114.1531
34616-51681,HK,LS,22.27852,114.16087
34634-82422,HK,LS,22.28786,114.15221
1611-181864,HK,LS,22.279166,114.164423
20900-208764,HK,LS,22.285327,114.149931
15414-161225,HK,LS,22.279297,114.165226
34609-22927,HK,LS,22.277657,114.164619
49648-270180,HK,LS,22.277187,114.164326
16505-172146,HK,LS,22.28072,114.16725
61908-296402,HK,LS,22.277401,114.166246
18145-188484,HK,LS,22.28756,114.14732
48916-264345,HK,LS,22.277805,114.170021
60726-295078,HK,LS,22.294992,114.165646
22016-217104,HK,LS,22.284176,114.142356
12922-155444,HK,LS,22.29466,114.16923
7076-154450,HK,LS,22.294049,114.170575
20668-234764,HK,LS,22.295674,114.168792
34645-95953,HK,LS,22.274584,114.171776
31356-295106,HK,LS,22.270317,114.149651
62854-297421,HK,LS,22.28117,114.175682
32024-296966,HK,LS,22.296608,114.169669
58123-292255,HK,LS,22.2934,114.173793
28937-251934,HK,LS,22.29657,114.171258
57102-291124,HK,LS,22.298961,114.167982
34605-28027,HK,LS,22.280551,114.176802
1777-134912,HK,LS,22.296685,114.172018
18770-195085,HK,LS,22.287214,114.138773
55088-288880,HK,LS,22.301861,114.162779
30735-101334,HK,LS,22.30044,114.16781
32347-134899,HK,LS,22.278148,114.178669
23343-229464,HK,LS,22.297653,114.173694
31996-167164,HK,LS,22.304,114.16158
16738-175264,HK,LS,22.283084,114.135882
15014-157084,HK,LS,22.29058,114.20979
31354-107893,HK,LS,22.287554,114.211874
31235-106228,HK,LS,22.286661,114.214299
57429-291552,HK,LS,22.290043,114.195896
20654-207724,HK,LS,22.285806,114.217402
52643-282604,HK,LS,22.284989,114.216254
27612-248108,HK,LS,22.284723,114.223245
34646-96055,HK,LS,22.288098,114.192578
24613-238415,HK,LS,22.304246,114.251974
22975-218604,HK,LS,22.323608,114.257683
34659-100323,HK,LS,22.27832,114.18192
21323-211425,HK,LS,22.280456,114.182261
16506-172147,HK,LS,22.277534,114.183017
17437-181845,HK,LS,22.279601,114.183805
54331-286434,HK,LS,22.278027,114.185143
32195-235805,HK,LS,22.280479,114.18524
64712-298902,HK,LS,22.280518,114.186596
48031-261185,HK,LS,22.286607,114.135667
50070-272545,HK,LS,22.282658,114.12881
14951-156525,HK,LS,22.278827,114.188301
31028-104389,HK,LS,22.27876,114.19166
16020-167645,HK,LS,22.28228,114.192244
19320-201106,HK,LS,22.267523,114.18711
34249-62099,AE,LS,25.229669,55.319303
30954-99024,AE,LS,25.23109,55.32647
32714-122107,AE,LS,25.23424,55.311429
62173-296739,AE,LS,25.251444,55.330561
50245-273628,AE,LS,25.246806,55.339464
31199-104340,AE,LS,25.251866,55.332833
34320-74020,AE,LS,25.25374,55.303499
49595-270099,AE,LS,25.257815,55.327233
50733-276145,AE,LS,25.223093,55.352372
48395-262948,AE,LS,25.221542,55.285242
24927-239346,AE,LS,25.224252,55.354236
34211-17922,AE,LS,25.21769,55.283103
23213-228760,AE,LS,25.259304,55.341268
23212-228759,AE,LS,25.257361,55.344323
23973-234507,AE,LS,25.248634,55.352868
34219-17920,AE,LS,25.266826,55.317043
28908-251804,AE,LS,25.214725,55.281249
3169-123447,AE,LS,25.25258,55.35408
32328-123449,AE,LS,25.21554,55.2789
31853-109684,AE,LS,25.215721,55.277276
59654-291012,AE,LS,25.263571,55.348924
32269-114734,AE,LS,25.210916,55.276096
24139-236004,AE,LS,25.23914,55.271046
55641-289490,AE,LS,25.198562,55.279598
27072-246650,AE,LS,25.196637,55.280883
59128-293309,AE,LS,25.252533,55.36618
63758-298187,AE,LS,25.252985,55.366166
1719-136469,AE,LS,25.19834,55.27844
20347-204885,AE,LS,25.266795,55.355415
48097-261445,AE,LS,25.200078,55.275122
1801-136467,AE,LS,25.194946,55.279258
32292-111724,AE,LS,25.200837,55.27365
23974-234508,AE,LS,25.204797,55.270852
32144-123448,AE,LS,25.194108,55.276799
